
 Intel(r) Performance Counter Monitor V2.1 (2012-05-31 14:40:57 +0200 ID=2d18fd5)

 Copyright (c) 2009-2012 Intel Corporation

Num (logical) cores: 3
Num sockets: 2
Threads per core: 1
Core PMU (perfmon) version: 3
Number of core PMU generic (programmable) counters: 8
Width of generic (programmable) counters: 48 bits
Number of core PMU fixed counters: 3
Width of fixed counters: 48 bits
Nominal core frequency: 2300000000 Hz
Number of PCM instances: 3

Detected processor(s) with Intel(r) microarchitecture codename Sandy Bridge-EP/Jaketown

System;;;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;SKT0dataIn;;SKT0dataIn (percent);;SKT1dataIn;;SKT1dataIn (percent);;SKT0trafficOut;;SKT0trafficOut (percent);;SKT1trafficOut;;SKT1trafficOut (percent);;SKT0 Core C-State;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;SKT1 Package C-State;;;;Proc Energy (Joules);;DRAM Energy (Joules);;Core0 (Socket 0);;;;;;;;;;;;;;;Core1 (Socket 1);;;;;;;;;;;;;;;Core2 (Socket 0);;;;;;;;;;;;;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIin;QPItoMC;TotalQPIout;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;TEMP;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT0;SKT1;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;
2017-5-4;9:59:52;0.414;1.22;0.34;1;25.7;26.3;0.0234;0.114;2.07;0.00976;0;0;2.73e+03;2.24e+03;2.19e+03;1.22;30.4;0.414;10.3;0;-nan;0;34;0;0;0;0;0;0;0;53.8;6.91;0.00617;0.594;0.0104;1;0.0143;0.0738;0.806;0.627;0.0565;0.0516;0;0;48;1.23;1.23;1;1;25.7;26.3;0.0212;0.11;2.11;0.00889;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.04;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;28.1;2.78 ;4.13 ;0.0101;0.588;0.0172;1;0.00667;0.0597;0.888;0.642;0.0319;0.0531;1.72;0;0;0;48;2300000;1.23;1.23;1;1;25.7;26.3;0.0212;0.11;2.11;0.00889;100;0;0;0;53;2300000;0.00224;0.621;0.00361;1;0.00765;0.0141;0.456;0.548;0.174;0.0447;0.361;0;0;0;56;2300000;
2017-5-4;9:59:53;0.421;1.24;0.34;1;26.9;27.3;0.0174;0.119;2.16;0.00756;0;0;2.77e+03;2.24e+03;2.19e+03;1.24;31;0.421;10.5;0;-nan;0;34;0;0;0;0;0;0;0;54;6.95;0.00627;0.605;0.0104;1;0.0155;0.0749;0.793;0.617;0.0614;0.0517;0;0;47;1.25;1.25;1;1;26.8;27.3;0.0153;0.116;2.2;0.00665;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.04;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.2;2.77 ;4.18 ;0.01;0.593;0.0169;1;0.00802;0.0607;0.868;0.629;0.039;0.0538;1.69;0;0;0;48;2300000;1.25;1.25;1;1;26.8;27.3;0.0153;0.116;2.2;0.00665;100;0;0;0;54;2300000;0.00255;0.658;0.00388;1;0.00752;0.0142;0.471;0.556;0.159;0.0425;0.388;0;0;0;55;2300000;
2017-5-4;9:59:54;0.431;1.27;0.34;1;26.2;26.6;0.016;0.133;2.1;0.00678;0;0;2.83e+03;2.24e+03;2.19e+03;1.27;31.7;0.431;10.8;0;-nan;0;34;0;0;0;0;0;0;0;53.9;6.9;0.00615;0.605;0.0102;1;0.0145;0.0733;0.802;0.625;0.0585;0.0522;0;0;47;1.28;1.28;1;1;26.2;26.5;0.0139;0.13;2.15;0.00586;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.02;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.1;2.77 ;4.13 ;0.00995;0.592;0.0168;1;0.00825;0.0608;0.864;0.633;0.0403;0.0538;1.68;0;0;0;47;2300000;1.28;1.28;1;1;26.2;26.5;0.0139;0.13;2.15;0.00586;100;0;0;0;54;2300000;0.00235;0.665;0.00354;1;0.00625;0.0125;0.5;0.582;0.145;0.0446;0.354;0;0;0;55;2300000;
2017-5-4;9:59:55;0.427;1.25;0.34;1;26.4;26.7;0.0128;0.12;2.12;0.00545;0;0;2.81e+03;2.24e+03;2.19e+03;1.25;31.3;0.427;10.7;0;-nan;0;34;0;0;0;0;0;0;0;54;6.89;0.00635;0.601;0.0106;1;0.0172;0.0785;0.781;0.615;0.0667;0.0523;0;0;48;1.27;1.27;1;1;26.3;26.6;0.0105;0.116;2.16;0.00446;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.06;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.2;2.77 ;4.13 ;0.0103;0.587;0.0175;1;0.0101;0.0639;0.843;0.628;0.0472;0.053;1.75;0;0;0;48;2300000;1.27;1.27;1;1;26.3;26.6;0.0105;0.116;2.16;0.00446;100;0;0;0;54;2300000;0.00243;0.663;0.00367;1;0.00714;0.0146;0.51;0.549;0.16;0.0488;0.367;0;0;0;55;2300000;
2017-5-4;9:59:56;0.439;1.29;0.34;1;25.8;26.2;0.0152;0.127;2.07;0.00634;0;0;2.89e+03;2.24e+03;2.19e+03;1.29;32.2;0.439;11;0;-nan;0;34;0;0;0;0;0;0;0;53.9;6.87;0.00615;0.592;0.0104;1;0.0147;0.122;0.879;0.496;0.0582;0.0881;0;0;48;1.3;1.3;1;1;25.8;26.1;0.0112;0.124;2.12;0.00464;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.04;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.1;2.78 ;4.09 ;0.0025;0.601;0.00416;1;0.00567;0.0142;0.599;0.614;0.112;0.046;0.416;0;0;0;48;2300000;1.3;1.3;1;1;25.8;26.1;0.0112;0.124;2.12;0.00464;100;0;0;0;53;2300000;0.00979;0.59;0.0166;1;0.00904;0.108;0.916;0.475;0.0447;0.0987;1.66;0;0;0;56;2300000;
2017-5-4;9:59:57;0.437;1.28;0.34;1;25.4;25.8;0.015;0.14;2.04;0.00615;0;0;2.88e+03;2.24e+03;2.19e+03;1.28;32.1;0.437;10.9;0;-nan;0;34;0;0;0;0;0;0;0;53.9;6.86;0.00641;0.593;0.0108;1;0.018;0.132;0.863;0.487;0.0683;0.0894;0;0;48;1.3;1.3;1;1;25.4;25.7;0.0106;0.137;2.09;0.00435;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.08;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.1;2.77 ;4.09 ;0.00208;0.587;0.00354;1;0.00729;0.012;0.391;0.587;0.169;0.0373;0.354;0;0;0;48;2300000;1.3;1.3;1;1;25.4;25.7;0.0106;0.137;2.09;0.00435;100;0;0;0;53;2300000;0.0107;0.594;0.0181;1;0.0107;0.12;0.91;0.475;0.0486;0.0997;1.81;0;0;0;55;2300000;
2017-5-4;9:59:58;0.645;1.9;0.34;1;16.8;17.6;0.0457;0.244;1.35;0.0127;0;0;4.24e+03;2.24e+03;2.19e+03;1.9;47.4;0.645;16.1;0;-nan;0;34;0;0;0;0;0;0;0;53.9;6.64;0.00629;0.602;0.0105;1;0.0176;0.0769;0.771;0.617;0.069;0.0514;0;0;48;1.92;1.92;1;1;16.8;17.5;0.0425;0.241;1.38;0.0119;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.05;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.1;2.77 ;3.87 ;0.0101;0.592;0.0171;1;0.01;0.0629;0.841;0.626;0.0481;0.0532;1.71;0;0;0;48;2300000;1.92;1.92;1;1;16.8;17.5;0.0425;0.241;1.38;0.0119;100;0;0;0;54;2300000;0.00247;0.649;0.0038;1;0.00755;0.014;0.459;0.567;0.163;0.0429;0.38;0;0;0;55;2300000;
2017-5-4;9:59:59;0.403;1.18;0.34;1;27.9;28.2;0.0131;0.128;2.24;0.0059;0;0;2.65e+03;2.24e+03;2.19e+03;1.18;29.6;0.403;10.1;0;-nan;0;34;0;0;0;0;0;0;0;54.1;7.02;0.00611;0.605;0.0101;1;0.0124;0.0707;0.824;0.63;0.0504;0.0521;0;0;47;1.2;1.2;1;1;27.9;28.2;0.0111;0.125;2.29;0.00497;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.01;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.3;2.77 ;4.25 ;0.01;0.593;0.0169;1;0.00649;0.0583;0.889;0.641;0.0315;0.0527;1.69;0;0;0;47;2300000;1.2;1.2;1;1;27.9;28.2;0.0111;0.125;2.29;0.00497;100;0;0;0;54;2300000;0.00217;0.663;0.00328;1;0.00592;0.0124;0.522;0.563;0.148;0.0489;0.328;0;0;0;55;2300000;
2017-5-4;10:0:0;0.419;1.23;0.34;1;26.6;27;0.0117;0.0991;2.14;0.00506;0;0;2.76e+03;2.24e+03;2.19e+03;1.23;30.8;0.419;10.5;0;-nan;0;34;0;0;0;0;0;0;0;54;6.87;0.00635;0.596;0.0107;1;0.0232;0.0836;0.722;0.602;0.0894;0.0511;0;0;47;1.25;1.25;1;1;26.6;26.9;0.00951;0.0956;2.18;0.00408;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.07;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.2;2.76 ;4.1 ;0.01;0.592;0.0169;1;0.00978;0.0616;0.841;0.633;0.0474;0.0528;1.69;0;0;0;47;2300000;1.25;1.25;1;1;26.6;26.9;0.00951;0.0956;2.18;0.00408;100;0;0;0;54;2300000;0.00271;0.616;0.0044;1;0.0134;0.022;0.391;0.478;0.25;0.0446;0.44;0;0;0;56;2300000;
2017-5-4;10:0:1;0.41;1.21;0.34;1;26.6;27;0.0135;0.117;2.14;0.00579;0;0;2.7e+03;2.24e+03;2.19e+03;1.21;30.1;0.41;10.3;0;-nan;0;34;0;0;0;0;0;0;0;54.1;6.91;0.00646;0.591;0.0109;1;0.0229;0.0849;0.73;0.603;0.0858;0.051;0;0;48;1.22;1.22;1;1;26.6;26.9;0.0112;0.113;2.18;0.0048;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.09;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;28.3;2.77 ;4.15 ;0.0104;0.58;0.0179;1;0.0142;0.0692;0.795;0.614;0.0652;0.0529;1.79;0;0;0;48;2300000;1.22;1.22;1;1;26.6;26.9;0.0112;0.113;2.18;0.0048;100;0;0;0;53;2300000;0.00256;0.638;0.00401;1;0.00869;0.0158;0.448;0.546;0.178;0.0425;0.401;0;0;0;55;2300000;
