
 Intel(r) Performance Counter Monitor V2.1 (2012-05-31 14:40:57 +0200 ID=2d18fd5)

 Copyright (c) 2009-2012 Intel Corporation

Num (logical) cores: 3
Num sockets: 2
Threads per core: 1
Core PMU (perfmon) version: 3
Number of core PMU generic (programmable) counters: 8
Width of generic (programmable) counters: 48 bits
Number of core PMU fixed counters: 3
Width of fixed counters: 48 bits
Nominal core frequency: 2300000000 Hz

Detected processor(s) with Intel(r) microarchitecture codename Sandy Bridge-EP/Jaketown

System;;;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;SKT0dataIn;;SKT0dataIn (percent);;SKT1dataIn;;SKT1dataIn (percent);;SKT0trafficOut;;SKT0trafficOut (percent);;SKT1trafficOut;;SKT1trafficOut (percent);;SKT0 Core C-State;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;SKT1 Package C-State;;;;Proc Energy (Joules);;DRAM Energy (Joules);;Core0 (Socket 0);;;;;;;;;;;;;;;Core1 (Socket 1);;;;;;;;;;;;;;;Core2 (Socket 0);;;;;;;;;;;;;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIin;QPItoMC;TotalQPIout;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;READ;WRITE;TEMP;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;QPI0;QPI1;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT0;SKT1;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3CLK;L2CLK;C0res%;C3res%;C6res%;C7res%;TEMP;FFREQ;
2017-5-4;9:46:20;0.63;1.85;0.34;1;9.11;9.45;0.0364;0.465;0.733;0.0055;0;0;4.15e+03;2.24e+03;2.19e+03;1.85;46.3;0.63;15.7;0;-nan;0;34;0;0;0;0;0;0;0;53.5;5.93;0.00597;0.588;0.0102;1;0.0132;0.126;0.895;0.493;0.0534;0.0942;0;0;48;1.88;1.88;1;1;9.1;9.33;0.0248;0.464;0.747;0.0037;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.02;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;27.7;2.75 ;3.18 ;0.00174;0.591;0.00294;1;0.00567;0.00986;0.426;0.573;0.158;0.0422;0.294;0;0;0;48;2300000;1.88;1.88;1;1;9.1;9.33;0.0248;0.464;0.747;0.0037;100;0;0;0;52;2300000;0.0102;0.587;0.0174;1;0.00755;0.116;0.935;0.485;0.0357;0.103;1.74;0;0;0;55;2300000;
2017-5-4;9:46:21;0.648;1.91;0.34;1;9.25;9.55;0.0315;0.514;0.744;0.00482;0;0;4.27e+03;2.24e+03;2.19e+03;1.91;47.7;0.648;16.2;0;-nan;0;34;0;0;0;0;0;0;0;53.5;5.99;0.00601;0.594;0.0101;1;0.0151;0.128;0.882;0.492;0.0613;0.0946;0;0;48;1.93;1.93;1;1;9.23;9.42;0.02;0.515;0.757;0.003;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.01;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;27.8;2.77 ;3.22 ;0.00168;0.614;0.00273;1;0.00563;0.00929;0.394;0.576;0.169;0.0425;0.273;0;0;0;48;2300000;1.93;1.93;1;1;9.23;9.42;0.02;0.515;0.757;0.003;100;0;0;0;52;2300000;0.0103;0.591;0.0175;1;0.00949;0.118;0.92;0.484;0.0445;0.103;1.75;0;0;0;55;2300000;
2017-5-4;9:46:22;0.592;1.74;0.34;1;8.79;9.1;0.0339;0.456;0.707;0.00494;0;0;3.89e+03;2.24e+03;2.19e+03;1.74;43.5;0.592;14.8;0;-nan;0;34;0;0;0;0;0;0;0;53.5;6.01;0.00602;0.595;0.0101;1;0.0145;0.127;0.886;0.488;0.0586;0.0943;0;0;49;1.76;1.76;1;1;8.78;8.98;0.0219;0.455;0.72;0.00313;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.01;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.76 ;3.24 ;0.00169;0.595;0.00284;1;0.00572;0.00972;0.411;0.579;0.165;0.0423;0.284;0;0;0;49;2300000;1.76;1.76;1;1;8.78;8.98;0.0219;0.455;0.72;0.00313;100;0;0;0;53;2300000;0.0104;0.596;0.0174;1;0.00873;0.117;0.925;0.478;0.0412;0.103;1.74;0;0;0;56;2300000;
2017-5-4;9:46:23;0.607;1.78;0.341;1;8.97;9.34;0.0395;0.466;0.719;0.00587;0;0;3.99e+03;2.25e+03;2.19e+03;1.78;44.5;0.607;15.2;0;-nan;0;34.1;0;0;0;0;0;0;0;53.5;5.98;0.00667;0.568;0.0117;1;0.119;0.26;0.54;0.365;0.418;0.1;0;0;48;1.81;1.81;1;1;8.85;9.08;0.0252;0.468;0.726;0.00365;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.17;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.77 ;3.21 ;0.00191;0.605;0.00316;1;0.00791;0.0116;0.319;0.549;0.206;0.0373;0.316;0;0;0;48;2300000;1.81;1.81;1;1;8.85;9.08;0.0252;0.468;0.726;0.00365;100;0;0;0;53;2300000;0.0114;0.563;0.0203;1;0.112;0.248;0.55;0.353;0.451;0.11;2.03;0;0;0;55;2300000;
2017-5-4;9:46:24;0.63;1.82;0.347;1;8.73;9.12;0.0426;0.481;0.689;0.00609;0;0;4.15e+03;2.28e+03;2.19e+03;1.82;45.4;0.63;15.7;0;-nan;0;34.7;0;0;0;0;0;0;0;53.6;5.99;0.0161;0.8;0.0201;1;0.116;0.258;0.551;0.453;0.236;0.0598;0;0;48;1.86;1.86;1;1;8.61;8.86;0.0278;0.482;0.707;0.00393;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;2.01;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.8;27.8;2.77 ;3.22 ;0.00413;0.578;0.00715;1;0.0277;0.038;0.271;0.526;0.318;0.0327;0.715;0;0;0;48;2300000;1.86;1.86;1;1;8.61;8.86;0.0278;0.482;0.707;0.00393;100;0;0;0;53;2300000;0.0281;0.848;0.0331;1;0.088;0.22;0.6;0.438;0.218;0.0657;3.31;0;0;0;55;2300000;
2017-5-4;9:46:25;0.643;1.89;0.34;1;8.91;9.21;0.0326;0.509;0.717;0.00481;0;0;4.23e+03;2.24e+03;2.19e+03;1.89;47.3;0.643;16.1;0;-nan;0;34;0;0;0;0;0;0;0;53.5;5.99;0.00601;0.592;0.0102;1;0.0164;0.0971;0.832;0.556;0.066;0.0693;0;0;49;1.92;1.92;1;1;8.9;9.12;0.0241;0.509;0.73;0.0035;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.02;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.77 ;3.23 ;0.00647;0.593;0.0109;1;0.00775;0.038;0.796;0.633;0.0583;0.0499;1.09;0;0;0;49;2300000;1.92;1.92;1;1;8.9;9.12;0.0241;0.509;0.73;0.0035;100;0;0;0;53;2300000;0.00555;0.591;0.0094;1;0.0086;0.059;0.854;0.487;0.0751;0.0918;0.94;0;0;0;57;2300000;
2017-5-4;9:46:26;0.623;1.83;0.34;1;8.71;8.94;0.026;0.512;0.701;0.00376;0;0;4.1e+03;2.24e+03;2.19e+03;1.83;45.8;0.623;15.6;0;-nan;0;34;0;0;0;0;0;0;0;53.5;6.02;0.00594;0.607;0.00978;1;0.0128;0.0691;0.814;0.631;0.0538;0.052;0;0;49;1.86;1.86;1;1;8.69;8.87;0.0199;0.511;0.713;0.00281;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;0.978;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.77 ;3.25 ;0.01;0.604;0.0166;1;0.00637;0.058;0.89;0.643;0.0314;0.0534;1.66;0;0;0;49;2300000;1.86;1.86;1;1;8.69;8.87;0.0199;0.511;0.713;0.00281;100;0;0;0;53;2300000;0.00183;0.626;0.00292;1;0.00646;0.011;0.414;0.558;0.181;0.0439;0.292;0;0;0;56;2300000;
2017-5-4;9:46:27;0.586;1.73;0.34;1;9.09;9.39;0.0322;0.493;0.731;0.00485;0;0;3.86e+03;2.24e+03;2.19e+03;1.73;43.1;0.586;14.7;0;-nan;0;34;0;0;0;0;0;0;0;53.6;6;0.00603;0.615;0.00979;1;0.0143;0.0711;0.799;0.627;0.0599;0.0522;0;0;49;1.75;1.75;1;1;9.07;9.32;0.0264;0.491;0.744;0.00392;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;0.979;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.9;2.78 ;3.23 ;0.0102;0.606;0.0168;1;0.00868;0.061;0.858;0.635;0.0423;0.0533;1.68;0;0;0;49;2300000;1.75;1.75;1;1;9.07;9.32;0.0264;0.491;0.744;0.00392;100;0;0;0;53;2300000;0.00186;0.674;0.00276;1;0.00562;0.0101;0.445;0.572;0.167;0.0456;0.276;0;0;0;56;2300000;
2017-5-4;9:46:28;0.58;1.71;0.34;1;8.38;8.73;0.0405;0.521;0.674;0.00565;0;0;3.82e+03;2.24e+03;2.19e+03;1.71;42.6;0.58;14.5;0;-nan;0;34;0;0;0;0;0;0;0;53.5;6;0.0062;0.603;0.0103;1;0.0161;0.0746;0.784;0.625;0.0642;0.0516;0;0;48;1.73;1.73;1;1;8.36;8.66;0.0341;0.519;0.686;0.00471;0;0;51;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1.03;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.77 ;3.23 ;0.0103;0.598;0.0172;1;0.00874;0.0622;0.859;0.636;0.0418;0.0538;1.72;0;0;0;48;2300000;1.73;1.73;1;1;8.36;8.66;0.0341;0.519;0.686;0.00471;100;0;0;0;53;2300000;0.00215;0.626;0.00343;1;0.00738;0.0124;0.406;0.561;0.176;0.0411;0.343;0;0;0;56;2300000;
2017-5-4;9:46:29;0.596;1.75;0.34;1;8.27;8.63;0.0415;0.521;0.665;0.00573;0;0;3.92e+03;2.24e+03;2.19e+03;1.75;43.8;0.596;14.9;0;-nan;0;34;0;0;0;0;0;0;0;53.6;5.98;0.00606;0.605;0.01;1;0.0156;0.0738;0.788;0.626;0.064;0.0525;0;0;48;1.78;1.78;1;1;8.25;8.55;0.0351;0.52;0.677;0.00479;0;0;52;0;0;-2147483648%;-2147483648%;0;0;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;8.8e+12;8.8e+12;-2147483648%;-2147483648%;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;25.7;27.8;2.78 ;3.21 ;0.0101;0.601;0.0168;1;0.00881;0.0618;0.857;0.634;0.0431;0.0543;1.68;0;0;0;48;2300000;1.78;1.78;1;1;8.25;8.55;0.0351;0.52;0.677;0.00479;100;0;0;0;52;2300000;0.00205;0.624;0.00328;1;0.00684;0.012;0.433;0.577;0.171;0.0428;0.328;0;0;0;56;2300000;
